boxes_box1_gps,boxes_crop,boxes_planting_date,boxes_expected_harvest_date,country,boxes_farmer_district,wet_completed_time,wet_kgs_crop_box1,wet_kgs_crop_box2,dry_box1_dry_weight,dry_box2_dry_weight,Latitude,Longitude,Altitude,Accuracy
0.2815217 38.0597733 933.6 4.7,maize,2020-11-13,2022-02-28,Kenya,Meru,2022-03-03,6.175,7.775,5.465,6.055,0.2815217,38.0597733,933.6,4.7
0.2800851 38.0612259 925.5 4.54,maize,2021-10-17,2022-03-05,Kenya,Meru,2022-03-15,4.425,3.055,3.245,2.435,0.2800851,38.0612259,925.5,4.54
0.2788795 38.0622256 925.7 4.94,maize,2021-10-22,2022-02-27,Kenya,Meru,2022-03-15,3.095,2.575,1.285,0.895,0.2788795,38.0622256,925.7,4.94
0.3216239 38.055878 1021.0 6.1,maize,2021-11-07,2022-03-12,Kenya,Meru,2022-03-06,11.22,12.41,5.455,9.715,0.3216239,38.055878,1021.0,6.1
0.1183667 37.7288117 1373.7 3.9,maize,2020-10-07,2022-02-26,Kenya,Meru,2022-03-02,11.54,11.29,9.665,8.965,0.1183667,37.7288117,1373.7,3.9
0.2849086 37.8713689 1693.6 4.51,maize,2021-10-10,2022-03-01,Kenya,Meru,2022-03-07,7.605,5.675,3.75,2.565,0.2849086,37.8713689,1693.6,4.51
0.0346181 37.7270887 1260.9 8.97,maize,2021-10-10,2022-02-20,Kenya,Meru,2022-03-21,17.05,10.6,7.585,5.87,0.0346181,37.7270887,1260.9,8.97
0.0488567 37.8243217 1153.3 5.2,maize,2021-09-12,2022-03-15,Kenya,Meru,2022-03-07,9.935,12.01,4.495,8.555,0.0488567,37.8243217,1153.3,5.2
0.2774064 38.0626627 933.7 4.93,maize,2020-11-21,2022-02-23,Kenya,Meru,2022-03-15,2.415,1.985,1.905,1.395,0.2774064,38.0626627,933.7,4.93
0.1179968 37.7277217 1402.8 4.5,maize,2021-10-17,2022-02-23,Kenya,Meru,2022-03-03,7.165,6.205,4.545,3.535,0.1179968,37.7277217,1402.8,4.5
0.048975 37.823185 1133.8 3.9,maize,2021-09-12,2022-03-15,Kenya,Meru,2022-03-02,13.62,10.84,8.195,8.885,0.048975,37.823185,1133.8,3.9
0.3327147 38.0571685 1022.5 4.5,maize,2021-11-10,2022-03-10,Kenya,Meru,2022-03-05,8.545,9.355,4.975,4.195,0.3327147,38.0571685,1022.5,4.5
0.335291 38.0576937 1041.4 6.78,maize,2021-11-08,2022-03-11,Kenya,Meru,2022-03-06,11.41,12.72,8.025,5.0,0.335291,38.0576937,1041.4,6.78
0.1536317 37.7948783 1490.4 4.09,maize,2021-09-21,2022-02-27,Kenya,Meru,2022-03-02,24.88,18.34,11.06,9.405,0.1536317,37.7948783,1490.4,4.09
0.1181052 37.7277432 1373.9 3.9,maize,2021-10-10,2022-02-20,Kenya,Meru,2022-02-14,20.0,24.02,9.355,7.145,0.1181052,37.7277432,1373.9,3.9
0.2704544 38.0581104 920.3 3.64,maize,2021-09-29,2022-03-03,Kenya,Meru,2022-03-03,4.995,5.98,2.565,3.205,0.2704544,38.0581104,920.3,3.64
0.0415787 37.6982663 1268.3 8.5,maize,2021-10-20,2022-03-10,Kenya,Meru,2022-03-21,10.47,9.0,3.75,3.82,0.0415787,37.6982663,1268.3,8.5
0.2789571 38.0660694 913.2 4.31,maize,2021-10-11,2022-03-10,Kenya,Meru,2022-03-03,6.9,5.01,2.555,3.205,0.2789571,38.0660694,913.2,4.31
0.0618658 37.7051047 1252.8 4.93,maize,2021-10-25,2022-03-10,Kenya,Meru,2022-03-21,29.5,13.38,12.91,10.53,0.0618658,37.7051047,1252.8,4.93
0.2933643 37.9157951 1814.1 4.76,maize,2021-10-10,2022-03-01,Kenya,Meru,2022-03-07,20.5,25.38,13.75,17.0,0.2933643,37.9157951,1814.1,4.76
0.2704709 38.0580322 900.1 3.16,maize,2021-11-05,2022-03-03,Kenya,Meru,2022-03-03,2.98,2.22,1.335,0.945,0.2704709,38.0580322,900.1,3.16
0.2817143 38.0670875 907.4 4.5,maize,2021-10-20,2022-03-05,Kenya,Meru,2022-03-03,9.715,8.835,6.365,4.485,0.2817143,38.0670875,907.4,4.5
0.1363949 37.7231459 1426.6 4.84,maize,2021-10-11,2022-02-27,Kenya,Meru,2022-03-07,11.36,9.405,8.435,7.205,0.1363949,37.7231459,1426.6,4.84
0.2777626 38.0642293 908.8 4.41,maize,2021-10-23,2022-03-10,Kenya,Meru,2022-03-03,7.325,6.075,5.295,4.225,0.2777626,38.0642293,908.8,4.41
0.3213716 38.0558585 1020.1 8.3,maize,2021-10-20,2022-03-11,Kenya,Meru,2022-03-06,9.795,10.69,5.625,6.255,0.3213716,38.0558585,1020.1,8.3
0.179055 37.7324483 1373.3 7.0,maize,2021-11-06,2022-03-08,Kenya,Meru,2022-03-07,15.84,13.74,8.735,6.385,0.179055,37.7324483,1373.3,7.0
0.3273325 38.0663014 983.0 4.34,maize,2021-10-10,2022-03-10,Kenya,Meru,2022-03-05,7.765,9.825,1.445,3.155,0.3273325,38.0663014,983.0,4.34
0.0615033 37.705 1252.8 4.3,maize,2021-10-10,2022-03-10,Kenya,Meru,2022-03-21,12.82,15.25,5.855,7.46,0.0615033,37.705,1252.8,4.3
0.0889239 37.8095522 1110.4 4.9,maize,2021-10-20,2022-03-11,Kenya,Meru,2022-03-11,12.99,14.21,8.87,9.705,0.0889239,37.8095522,1110.4,4.9
0.0231539 37.7077817 1274.4 3.14,maize,2021-10-20,2022-03-10,Kenya,Meru,2022-03-21,17.97,9.92,6.765,6.725,0.0231539,37.7077817,1274.4,3.14
0.2892001 38.0766334 999.7 3.66,maize,2021-10-16,2022-03-10,Kenya,Meru,2022-03-16,16.97,20.31,11.95,14.17,0.2892001,38.0766334,999.7,3.66
0.08497 37.8574917 1147.7 4.7,maize,2021-10-05,2022-03-07,Kenya,Meru,2022-02-26,26.35,27.37,19.44,17.75,0.08497,37.8574917,1147.7,4.7
0.1364214 37.7232254 1433.1 6.56,maize,2021-10-09,2022-03-08,Kenya,Meru,2022-03-02,28.45,20.79,15.78,14.51,0.1364214,37.7232254,1433.1,6.56
0.1614809 37.64396 1486.45 7.5,maize,2021-10-17,2022-03-26,Kenya,Meru,2022-03-26,10.98,11.91,5.43,5.73,0.1614809,37.64396,1486.45,7.5
-0.1051202 37.8629449 785.8 4.58,maize,2021-11-20,2022-02-18,Kenya,Meru,2022-04-07,24.27,23.12,18.33,16.34,-0.1051202,37.8629449,785.8,4.58
0.1925149 37.6696852 1418.36 8.57,maize,2021-10-05,2022-04-09,Kenya,Meru,2022-04-11,13.13,12.6,7.3,6.69,0.1925149,37.6696852,1418.36,8.57
-0.039268333333333336 37.75876166666667 1170.5 7.8,maize,2021-10-16,2022-02-21,Kenya,Meru,2022-03-01,28.71,29.38,18.83,23.87,-0.0392683333333333,37.75876166666667,1170.5,7.8
0.0877447 37.8180527 1163.7 4.76,maize,2021-10-23,2022-03-12,Kenya,Meru,2022-03-11,11.24,12.63,6.55,7.805,0.0877447,37.8180527,1163.7,4.76
0.088947 37.8200266 1134.4 4.82,maize,2021-10-18,2022-03-12,Kenya,Meru,2022-03-11,13.24,14.51,7.735,8.975,0.088947,37.8200266,1134.4,4.82
-0.1050947 37.8629599 802.4 4.97,maize,2021-11-22,2022-02-20,Kenya,Meru,2022-03-06,13.32,11.63,9.385,8.785,-0.1050947,37.8629599,802.4,4.97
-0.1049787 37.8629973 763.4 4.96,maize,2021-11-17,2022-02-28,Kenya,Meru,2022-03-06,14.6,14.99,9.455,9.605,-0.1049787,37.8629973,763.4,4.96
-0.1065185 37.8614894 789.9 4.52,maize,2021-10-16,2022-03-08,Kenya,Meru,2022-03-05,5.605,6.405,3.235,3.185,-0.1065185,37.8614894,789.9,4.52
-0.007201666666666666 37.76666 1116.5 4.9,maize,2021-10-15,2022-03-02,Kenya,Meru,2022-03-02,17.29,19.38,11.73,12.67,-0.0072016666666666,37.76666,1116.5,4.9
-0.0171375 37.6663698 1531.5 4.7,maize,2021-11-20,2022-03-06,Kenya,Meru,2022-03-17,11.01,11.34,7.445,7.105,-0.0171375,37.6663698,1531.5,4.7
0.1727234 37.7832314 1516.3 4.96,maize,2021-10-15,2022-02-25,Kenya,Meru,2022-03-05,14.96,15.99,4.256,3.505,0.1727234,37.7832314,1516.3,4.96
0.124419 38.025986 790.3 4.78,maize,2021-11-15,2022-03-10,Kenya,Meru,2022-03-14,10.74,7.495,7.308,4.865,0.124419,38.025986,790.3,4.78
0.0905117 37.8222117 1183.59 3.9,maize,2021-10-14,2022-02-25,Kenya,Meru,2022-02-26,23.83,26.51,13.9,12.71,0.0905117,37.8222117,1183.59,3.9
-0.1053609 37.8625849 764.24 4.09,maize,2021-10-27,2022-02-15,Kenya,Meru,2022-03-07,15.45,11.01,9.635,8.365,-0.1053609,37.8625849,764.24,4.09
-0.1053927 37.8627207 775.4 4.96,maize,2021-11-22,2022-02-20,Kenya,Meru,2022-03-16,13.06,12.05,9.095,8.135,-0.1053927,37.8627207,775.4,4.96
-0.1050341 37.8629852 766.9 4.95,maize,2021-11-22,2022-02-28,Kenya,Meru,2022-03-06,13.01,14.06,8.885,9.025,-0.1050341,37.8629852,766.9,4.95
-0.014081666666666666 37.834035 973.9 6.1,maize,2021-10-15,2022-02-19,Kenya,Meru,2022-03-02,8.195,9.875,7.515,8.755,-0.0140816666666666,37.834035,973.9,6.1
-0.1055053 37.8625036 760.59 5.36,maize,2021-10-24,2022-02-14,Kenya,Meru,2022-03-21,13.09,11.2,11.53,9.985,-0.1055053,37.8625036,760.59,5.36
0.3013135 38.0818897 897.0 4.84,maize,2021-10-24,2022-03-10,Kenya,Meru,2022-03-04,15.05,11.9,1.725,1.495,0.3013135,38.0818897,897.0,4.84
-0.1051195 37.862867 810.9 4.9,maize,2021-12-06,2022-02-20,Kenya,Meru,2022-04-07,12.93,15.26,7.455,9.975,-0.1051195,37.862867,810.9,4.9
0.1866122 37.64908 1428.91 7.5,maize,2021-10-08,2022-04-08,Kenya,Meru,2022-04-09,15.38,12.17,7.38,6.25,0.1866122,37.64908,1428.91,7.5
-0.1063717 37.8615633 781.2 3.9,maize,2021-10-08,2022-02-27,Kenya,Meru,2022-03-15,3.155,1.275,1.515,1.085,-0.1063717,37.8615633,781.2,3.9
-0.1053738 37.8626439 783.8 4.58,maize,2021-11-26,2022-02-25,Kenya,Meru,2022-03-16,9.265,12.22,7.005,8.485,-0.1053738,37.8626439,783.8,4.58
0.121295 37.785055 1399.2 3.9,maize,2021-10-04,2022-02-25,Kenya,Meru,2022-03-02,10.01,11.13,7.035,6.165,0.121295,37.785055,1399.2,3.9
-0.126102 37.8689214 710.5 4.86,maize,2021-10-12,2022-03-12,Kenya,Meru,2022-03-05,7.265,6.375,4.715,3.285,-0.126102,37.8689214,710.5,4.86
-0.1048102 37.8624285 760.81 4.09,maize,2021-10-14,2022-02-14,Kenya,Meru,2022-03-12,7.985,13.08,6.97,9.145,-0.1048102,37.8624285,760.81,4.09
0.3616457 37.9435645 1794.5 6.8,maize,2021-11-20,2022-05-09,Kenya,Meru,2022-04-09,6.7,7.93,3.04,3.43,0.3616457,37.9435645,1794.5,6.8
-0.1050941 37.8627289 758.23 3.9,maize,2021-10-22,2022-02-14,Kenya,Meru,2022-03-05,17.6,14.32,10.05,8.265,-0.1050941,37.8627289,758.23,3.9
-0.105135 37.86297 816.9 4.3,maize,2021-11-23,2022-02-20,Kenya,Meru,2022-03-06,12.5,11.25,9.305,9.005,-0.105135,37.86297,816.9,4.3
0.0218309 37.773725 1106.71 4.82,maize,2021-11-23,2022-02-24,Kenya,Meru,2022-03-17,21.65,19.42,15.23,13.28,0.0218309,37.773725,1106.71,4.82
-0.1050924 37.8630099 758.12 8.18,maize,2021-11-23,2022-02-27,Kenya,Meru,2022-03-06,11.5,12.37,8.095,8.275,-0.1050924,37.8630099,758.12,8.18
0.1718228 37.6183688 1556.91 5.36,maize,2021-10-07,2022-03-22,Kenya,Meru,2022-03-22,9.48,9.48,5.1,5.5,0.1718228,37.6183688,1556.91,5.36
-0.1112816 37.8571825 788.38 6.78,maize,2021-10-28,2022-04-14,Kenya,Meru,2022-04-09,17.78,19.28,10.24,14.71,-0.1112816,37.8571825,788.38,6.78
0.1716963 37.6178577 1550.17 6.43,maize,2021-10-03,2022-03-22,Kenya,Meru,2022-04-08,11.14,11.14,6.3,7.68,0.1716963,37.6178577,1550.17,6.43
0.1362594 37.6192928 1672.3 6.43,maize,2021-10-09,2022-03-26,Kenya,Meru,2022-03-26,6.53,9.51,2.5,3.5,0.1362594,37.6192928,1672.3,6.43
0.0597189 37.8099628 1126.0 4.59,maize,2021-10-19,2022-02-24,Kenya,Meru,2022-02-25,10.37,8.71,6.385,4.865,0.0597189,37.8099628,1126.0,4.59
-0.1054821 37.86262 782.9 4.64,maize,2021-11-21,2022-02-21,Kenya,Meru,2022-03-17,16.6,13.08,11.48,9.215,-0.1054821,37.86262,782.9,4.64
0.1367049 37.5232492 2007.5 4.77,maize,2021-10-20,2022-04-04,Kenya,Meru,2022-04-04,8.515,9.44,3.725,4.885,0.1367049,37.5232492,2007.5,4.77
0.0780292 37.7757053 1193.4 4.57,maize,2021-10-09,2022-04-21,Kenya,Meru,2022-02-26,17.58,19.61,12.03,14.67,0.0780292,37.7757053,1193.4,4.57
-0.1051993 37.8627053 762.11 4.28,maize,2021-10-28,2022-02-15,Kenya,Meru,2022-03-12,11.97,12.91,8.51,8.95,-0.1051993,37.8627053,762.11,4.28
0.1373668 37.6241141 1638.73 7.5,maize,2021-10-03,2022-03-26,Kenya,Meru,2022-03-26,19.99,17.99,12.25,11.31,0.1373668,37.6241141,1638.73,7.5
-0.023065 37.78421166666667 1043.9 4.59,maize,2021-10-16,2022-02-20,Kenya,Meru,2022-03-21,14.92,20.32,12.89,14.27,-0.023065,37.78421166666667,1043.9,4.59
-0.0445081 37.7340474 1208.4 3.9,maize,2021-10-15,2022-02-28,Kenya,Meru,2022-02-22,17.17,16.18,10.01,9.115,-0.0445081,37.7340474,1208.4,3.9
0.1122663 37.5012864 2266.5 4.88,maize,2021-10-20,2022-04-04,Kenya,Meru,2022-04-04,15.01,23.51,7.075,18.03,0.1122663,37.5012864,2266.5,4.88
0.3573181 37.9890074 1639.3 7.94,maize,2021-10-11,2022-03-11,Kenya,Meru,2022-03-06,8.915,9.925,4.735,6.045,0.3573181,37.9890074,1639.3,7.94
-0.1265632 37.8686677 716.9 4.05,maize,2021-10-12,2022-03-08,Kenya,Meru,2022-03-05,7.315,8.485,5.505,5.615,-0.1265632,37.8686677,716.9,4.05
-0.1051154 37.8628098 753.24 8.49,maize,2021-10-18,2022-02-14,Kenya,Meru,2022-03-21,14.78,13.24,9.385,8.165,-0.1051154,37.8628098,753.24,8.49
-0.1051517 37.8627539 729.87 4.28,maize,2021-10-23,2022-02-15,Kenya,Meru,2022-02-24,19.39,16.32,12.02,10.1,-0.1051517,37.8627539,729.87,4.28
0.0579243 37.7803894 1216.59 4.65,maize,2021-10-02,2022-02-16,Kenya,Meru,2022-02-28,10.72,8.435,7.355,5.285,0.0579243,37.7803894,1216.59,4.65
0.0731021 37.8070444 1155.3 4.92,maize,2021-10-11,2022-02-20,Kenya,Meru,2022-02-25,12.25,8.28,5.76,3.48,0.0731021,37.8070444,1155.3,4.92
0.0553805 37.8014008 1209.59 4.51,maize,2021-10-11,2022-02-21,Kenya,Meru,2022-02-25,10.8,20.03,6.805,13.21,0.0553805,37.8014008,1209.59,4.51
0.0761204 37.8081157 1189.5 4.55,maize,2021-10-04,2022-02-22,Kenya,Meru,2022-02-25,13.12,8.59,7.085,4.735,0.0761204,37.8081157,1189.5,4.55
0.1527169 37.6319419 1539.66 5.36,maize,2021-11-17,2022-03-22,Kenya,Meru,2022-03-22,25.22,19.08,14.58,10.38,0.1527169,37.6319419,1539.66,5.36
0.069702 37.7745607 1181.0 4.71,maize,2021-10-29,2022-02-23,Kenya,Meru,2022-02-26,20.98,20.76,13.3,10.36,0.069702,37.7745607,1181.0,4.71
0.0872704 37.8200964 1210.0 4.88,maize,2021-10-21,2022-03-12,Kenya,Meru,2022-03-11,8.46,9.01,4.78,6.025,0.0872704,37.8200964,1210.0,4.88
0.3028844 38.0851735 877.7 4.76,maize,2020-10-20,2022-03-01,Kenya,Meru,2022-03-16,7.925,3.295,5.855,2.195,0.3028844,38.0851735,877.7,4.76
0.1125693 37.5015016 2263.1 4.45,maize,2021-10-25,2022-04-04,Kenya,Meru,2022-04-04,11.53,13.09,6.125,7.775,0.1125693,37.5015016,2263.1,4.45
0.310555 38.1363667 789.0 3.9,maize,2021-11-16,2022-02-22,Kenya,Meru,2022-03-16,3.245,3.855,1.795,2.045,0.310555,38.1363667,789.0,3.9
0.29668 38.0466017 1033.9 4.5,maize,2020-11-15,2022-02-27,Kenya,Meru,2022-03-04,13.87,9.89,7.605,5.545,0.29668,38.0466017,1033.9,4.5
0.1788973 37.6071683 1598.25 9.64,maize,2021-10-01,2022-03-22,Kenya,Meru,2022-03-22,6.57,8.63,5.45,6.51,0.1788973,37.6071683,1598.25,9.64
-0.1063998 37.8615996 758.4 4.28,maize,2021-11-22,2022-02-27,Kenya,Meru,2022-03-15,6.665,5.925,3.175,2.395,-0.1063998,37.8615996,758.4,4.28
0.0710371 37.809194 1186.2 4.7,maize,2021-10-19,2022-02-17,Kenya,Meru,2022-02-25,27.77,30.47,19.37,20.9,0.0710371,37.809194,1186.2,4.7
-0.0171414 37.7613932 1093.1 2.6,maize,2021-09-26,2022-02-20,Kenya,Meru,2022-02-14,42.9,46.07,29.14,26.99,-0.0171414,37.7613932,1093.1,2.6
0.0841957 37.8157906 1207.9 5.0,maize,2021-10-23,2022-02-27,Kenya,Meru,2022-02-24,11.33,19.89,6.74,7.355,0.0841957,37.8157906,1207.9,5.0
-0.01667 37.76304666666667 1147.0 7.0,maize,2021-10-17,2022-02-21,Kenya,Meru,2022-03-01,22.53,18.53,21.05,15.25,-0.01667,37.76304666666667,1147.0,7.0
0.1783375 37.6076529 1570.21 9.64,maize,2021-09-29,2022-03-22,Kenya,Meru,2022-04-09,13.58,10.6,7.14,5.09,0.1783375,37.6076529,1570.21,9.64
0.3049109 37.9891171 1421.4 6.56,maize,2021-11-10,2022-03-10,Kenya,Meru,2022-03-16,2.735,3.385,1.025,1.855,0.3049109,37.9891171,1421.4,6.56
0.0595534 37.7982743 1155.7 4.86,maize,2021-10-12,2022-02-24,Kenya,Meru,2022-02-25,7.765,7.83,4.385,3.06,0.0595534,37.7982743,1155.7,4.86
-0.0334984 37.6790372 1439.4 4.8,maize,2021-11-14,2022-02-28,Kenya,Meru,2022-03-17,14.69,15.31,10.6,11.57,-0.0334984,37.6790372,1439.4,4.8
-0.014889999999999999 37.762415000000004 691.8 5.6,maize,2021-10-17,2022-02-21,Kenya,Meru,2022-03-11,11.83,14.78,6.885,9.815,-0.0148899999999999,37.762415,691.8,5.6
-0.002456666666666667 37.788275 1087.4 4.5,maize,2021-10-05,2022-03-09,Kenya,Meru,2022-03-24,16.98,22.33,12.26,16.98,-0.0024566666666666,37.788275,1087.4,4.5
4.95E-4 37.787953333333334 1090.7 6.9,maize,2021-10-15,2022-02-21,Kenya,Meru,2022-03-02,26.08,26.78,19.94,21.98,0.000495,37.78795333333333,1090.7,6.9
-0.1050929 37.8625345 758.74 4.82,maize,2021-10-15,2022-02-13,Kenya,Meru,2022-03-03,11.92,15.85,6.075,10.16,-0.1050929,37.8625345,758.74,4.82
-0.1050482 37.8627244 808.1 4.4,maize,2021-11-24,2022-02-20,Kenya,Meru,2022-02-21,11.62,10.07,7.725,7.115,-0.1050482,37.8627244,808.1,4.4
-0.1052573 37.8626186 749.69 4.82,maize,2021-10-20,2022-02-15,Kenya,Meru,2022-03-02,11.61,11.61,7.135,7.025,-0.1052573,37.8626186,749.69,4.82
-0.033795 37.7143561 1208.96 4.28,maize,2021-11-16,2022-02-14,Kenya,Meru,2022-03-21,11.25,12.86,9.485,10.81,-0.033795,37.7143561,1208.96,4.28
0.0766204 37.7808964 1224.09 4.23,maize,2021-10-14,2022-02-25,Kenya,Meru,2022-02-23,5.21,4.85,2.77,2.765,0.0766204,37.7808964,1224.09,4.23
0.084254 37.8251651 1188.0 5.24,maize,2021-10-21,2022-02-15,Kenya,Meru,2022-02-26,15.74,9.585,9.935,8.775,0.084254,37.8251651,1188.0,5.24
0.1714666 37.7840307 1483.6 4.7,maize,2021-09-20,2022-02-28,Kenya,Meru,2022-03-28,4.015,3.445,2.118,2.011,0.1714666,37.7840307,1483.6,4.7
-0.1053247 37.8625411 762.89 7.5,maize,2021-10-24,2022-02-20,Kenya,Meru,2022-04-01,10.17,13.23,5.405,6.985,-0.1053247,37.8625411,762.89,7.5
-0.1050577 37.8627528 755.61 4.82,maize,2021-10-21,2022-02-14,Kenya,Meru,2022-03-21,11.94,13.43,10.39,8.635,-0.1050577,37.8627528,755.61,4.82
0.298603 38.0476076 1014.5 4.92,maize,2021-10-10,2022-03-10,Kenya,Meru,2022-03-05,9.675,7.595,1.145,1.005,0.298603,38.0476076,1014.5,4.92
-0.1051072 37.862824 784.3 4.96,maize,2021-11-26,2022-02-22,Kenya,Meru,2022-04-07,19.49,17.7,14.86,12.92,-0.1051072,37.862824,784.3,4.96
-0.083854 37.7565611 1173.7 4.68,maize,2021-09-17,2022-03-07,Kenya,Meru,2022-03-07,6.245,4.86,4.305,2.38,-0.083854,37.7565611,1173.7,4.68
0.080639 37.7828923 1208.09 4.56,maize,2021-10-26,2022-02-25,Kenya,Meru,2022-02-23,18.02,20.59,14.39,16.67,0.080639,37.7828923,1208.09,4.56
0.1861061 37.6490612 1432.16 5.36,maize,2021-10-04,2022-04-08,Kenya,Meru,2022-04-09,12.21,10.42,5.65,5.37,0.1861061,37.6490612,1432.16,5.36
0.1910763 37.7600313 1024.4 4.7,maize,2021-10-15,2022-02-21,Kenya,Meru,2022-02-19,6.775,7.655,3.995,3.485,0.1910763,37.7600313,1024.4,4.7
0.1725752 37.7844172 1520.1 4.78,maize,2021-10-08,2022-02-25,Kenya,Meru,2022-03-01,9.725,7.785,5.355,4.365,0.1725752,37.7844172,1520.1,4.78
-0.0838907 37.7562139 1192.0 4.87,maize,2021-10-14,2022-03-07,Kenya,Meru,2022-03-07,5.08,4.2,3.375,2.44,-0.0838907,37.7562139,1192.0,4.87
0.0870598 37.8174602 1213.59 3.84,maize,2021-10-17,2022-03-11,Kenya,Meru,2022-03-11,10.83,11.36,7.785,8.165,0.0870598,37.8174602,1213.59,3.84
0.0302557 37.753972 1145.09 4.61,maize,2021-11-20,2022-02-27,Kenya,Meru,2022-03-17,12.32,14.6,8.585,9.965,0.0302557,37.753972,1145.09,4.61
-0.1109289 37.8572926 768.21 6.7,maize,2021-10-27,2022-03-11,Kenya,Meru,2022-04-05,19.55,15.05,8.665,4.175,-0.1109289,37.8572926,768.21,6.7
0.1420029 37.6344614 1565.56 4.28,maize,2021-10-10,2022-03-28,Kenya,Meru,2022-03-22,7.595,3.7,2.47,2.01,0.1420029,37.6344614,1565.56,4.28
-0.1050567 37.8626151 756.51 5.36,maize,2021-10-14,2022-02-14,Kenya,Meru,2022-02-24,13.71,11.15,9.725,8.105,-0.1050567,37.8626151,756.51,5.36
0.1717187 37.6184692 1558.66 3.9,maize,2021-11-15,2022-03-19,Kenya,Meru,2022-04-09,13.14,10.2,6.12,6.61,0.1717187,37.6184692,1558.66,3.9
-0.00738 37.76927166666667 1129.0 5.7,maize,2021-10-16,2022-02-21,Kenya,Meru,2022-03-01,45.69,52.38,24.0,31.17,-0.00738,37.76927166666667,1129.0,5.7
0.2992085 38.12114 821.7 3.9,maize,2021-11-06,2022-02-25,Kenya,Meru,2022-03-04,2.82,2.61,1.835,2.01,0.2992085,38.12114,821.7,3.9
0.1833453 37.6066602 1600.28 8.57,maize,2021-10-05,2022-03-22,Kenya,Meru,2022-03-22,11.65,10.69,6.55,5.55,0.1833453,37.6066602,1600.28,8.57
0.0875327 37.8188393 1213.4 4.94,maize,2021-10-17,2022-03-16,Kenya,Meru,2022-03-11,10.86,9.795,6.435,5.69,0.0875327,37.8188393,1213.4,4.94
0.1729153 37.7829071 1529.6 4.96,maize,2021-10-15,2022-02-25,Kenya,Meru,2022-04-03,14.65,14.483,10.361,11.025,0.1729153,37.7829071,1529.6,4.96
0.0768184 37.7763138 1223.5 4.87,maize,2021-10-17,2022-02-15,Kenya,Meru,2022-02-12,27.25,17.81,14.52,11.03,0.0768184,37.7763138,1223.5,4.87
-0.0426153 37.731997 1210.07 3.57,maize,2021-11-13,2022-02-13,Kenya,Meru,2022-02-22,16.55,13.63,7.705,9.725,-0.0426153,37.731997,1210.07,3.57
0.2258772 37.6206637 1393.76 9.64,maize,2021-10-15,2022-02-28,Kenya,Meru,2022-04-09,14.89,12.29,8.06,7.37,0.2258772,37.6206637,1393.76,9.64
-0.1003928 37.8543128 836.8 4.34,maize,2021-11-03,2022-03-07,Kenya,Meru,2022-03-15,5.735,4.835,3.055,2.165,-0.1003928,37.8543128,836.8,4.34
-0.1062451 37.861477 758.62 4.28,maize,2021-11-25,2022-02-28,Kenya,Meru,2022-03-15,5.095,5.735,3.735,3.405,-0.1062451,37.861477,758.62,4.28
0.0782336 37.7903159 1183.8 4.87,maize,2021-10-11,2022-02-21,Kenya,Meru,2022-02-26,16.19,20.48,8.575,12.19,0.0782336,37.7903159,1183.8,4.87
-0.1050003 37.8630688 762.47 8.57,maize,2021-10-22,2022-02-16,Kenya,Meru,2022-04-09,14.04,17.14,8.985,11.53,-0.1050003,37.8630688,762.47,8.57
-0.1094948 37.7776575 1013.6 7.85,maize,2021-10-07,2022-03-01,Kenya,Meru,2022-03-11,15.45,14.65,10.03,8.715,-0.1094948,37.7776575,1013.6,7.85
0.0880995 37.8196758 1154.9 3.48,maize,2021-10-28,2022-03-12,Kenya,Meru,2022-03-11,12.8,11.57,7.53,6.575,0.0880995,37.8196758,1154.9,3.48
-0.1051913 37.8630393 802.0 4.4,maize,2021-11-22,2022-02-20,Kenya,Meru,2022-02-21,17.82,18.05,13.51,14.13,-0.1051913,37.8630393,802.0,4.4
